Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
Pilsner (Weyermann),Germany,,1.7,110,1.038,100,"Pilsner base malt for all pilsners, lagers. Highly modified malt."
Pilsner (Weyermann),Germany,,1.7,110,1.038,100,"Pilsner base malt for all pilsners, lagers. Highly modified malt."
Pilsner (Weyermann),Germany,,1.7,110,1.038,100,"Pilsner base malt for all pilsners, lagers. Highly modified malt."
Pilsner (Weyermann),Germany,,1.7,110,1.038,100,"Pilsner base malt for all pilsners, lagers. Highly modified malt."
Pilsner (Weyermann),Germany,,1.7,110,1.038,100,"Pilsner base malt for all pilsners, lagers. Highly modified malt."
Pilsner (Weyermann),Germany,,1.7,110,1.038,100,"Pilsner base malt for all pilsners, lagers. Highly modified malt."
Pilsner (Weyermann),Germany,,1.7,110,1.038,100,"Pilsner base malt for all pilsners, lagers. Highly modified malt."
Pilsner (Weyermann),Germany,,1.7,110,1.038,100,"Pilsner base malt for all pilsners, lagers. Highly modified malt."
Pilsner Malt (Avangard),Germany,,3.5,220,1.037,100,
Pilsner Malt (Avangard),Germany,,3.5,220,1.037,100,
Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
Pilsner Malt (Avangard),Germany,,1.7,67,1.037,100,"Highly-modified, it has been reported that brewers tend to get excellent efficiency out of this malt. It produces beers with a nice light golden color. Avangard pilsner malt can be used in a range of different styles and in any beer that calls for pilsner malt."
"Pilsner malt, 300 degrees for 25 minutes",US,,20,25,1.035,80,"Malty-sweet flavor characteristic and adds a orange to deep orange color to the beer. Does not contribute signficantly to body or head retention. Use for: Bock, Porter, Marzen, Oktoberfest beers"
"Pilsner malt, 400 degrees for 50 minutes",US,,200,0,1.028,10,"Dark malt that gives a rich red or brown color and nutty flavor. Use for: Brown ales, porters, some stouts Maintains some malty flavor, not as dark as roasted malt."
RedX (BestMälz),Alemanha,,15.2284264,250,1.036,100,"BEST Red X malt is specially created for brewing red-tinted beers. You can use BEST Red X for up to 100% of your grain bill – no other malt is required. Offering exceptional reliability and optimal processability, BEST Red X can be employed to brew consistently fiery beers with intense reddish hues. Its full-bodied flavor and attractive, unique color coupled with easy han-dling in the brewery make BEST Red X the best choice for creating a broad range of new beers, such as red-tinted wheat beers. As with all BEST malts, BEST Red X is produced using a special malting procedure exclusively from two-rowed spring malting barley from recognized and thor-oughly tested barley varieties."
RedX (BestMälz),Germany,,15.2284264,250,1.036,100,"BEST Red X® has been invented for brewing red-tinted beers. You can use BEST Red X® for up to 100% of your grain bill - no other malt is required. Offering exceptional reliability and optimal processability, BEST Red X® can be employed to brew consistently fiery beers with intense reddish hues. Its full-bodied flavor and attractive, unique color coupled with easy handling in the brewery, make BEST Red X® the best choice for creating a broad range of new beers, such as red-tinted wheat beers."
"Rice, Flaked",US,X,1,0,1.032,25,"Used to add fermentables without increasing body or flavor. Produces a milder, less grainy tasting beer. Examples: American lagers, Bohemian lagers, Pilsners"
"Rice, Flaked (Briess)",US,,1,0,1.032,0,Use up to 40% as a cereal adjunct
Roasted Barley,US,,300,0,1.025,10,"Roasted at high temperature to create a burnt, grainy, coffee like flavor. Imparts a red to deep brown color to beer, and very strong roasted flavor. Use 2-4% in Brown ales to add a nutty flavor, or 3-10% in Porters and Stouts for coffee flavor."
Roasted Barley,US,,300,0,0.000,10,"Roasted at high temperature to create a burnt, grainy, coffee like flavor. Imparts a red to deep brown color to beer, and very strong roasted flavor. Use 2-4% in Brown ales to add a nutty flavor, or 3-10% in Porters and Stouts for coffee flavor."
Roasted Barley,US,,500,0,1.025,10,"Roasted at high temperature to create a burnt, grainy, coffee like flavor. Imparts a red to deep brown color to beer, and very strong roasted flavor. Use 2-4% in Brown ales to add a nutty flavor, or 3-10% in Porters and Stouts for coffee flavor."
Roasted Barley,US,,300,0,1.025,10,"Roasted at high temperature to create a burnt, grainy, coffee like flavor. Imparts a red to deep brown color to beer, and very strong roasted flavor. Use 2-4% in Brown ales to add a nutty flavor, or 3-10% in Porters and Stouts for coffee flavor."
Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
Roasted Barley,US,,300,0,1.025,10,"Roasted at high temperature to create a burnt, grainy, coffee like flavor. Imparts a red to deep brown color to beer, and very strong roasted flavor. Use 2-4% in Brown ales to add a nutty flavor, or 3-10% in Porters and Stouts for coffee flavor."
Roasted Barley,US,,300,0,1.025,10,"Roasted at high temperature to create a burnt, grainy, coffee like flavor. Imparts a red to deep brown color to beer, and very strong roasted flavor. Use 2-4% in Brown ales to add a nutty flavor, or 3-10% in Porters and Stouts for coffee flavor."
Roasted Barley,United Kingdom,,550,0,0.000,0,
Roasted Barley,US,,300,0,1.025,10,"Roasted at high temperature to create a burnt, grainy, coffee like flavor. Imparts a red to deep brown color to beer, and very strong roasted flavor. Use 2-4% in Brown ales to add a nutty flavor, or 3-10% in Porters and Stouts for coffee flavor."
Roasted Barley,US,,300,0,1.025,10,"Roasted at high temperature to create a burnt, grainy, coffee like flavor. Imparts a red to deep brown color to beer, and very strong roasted flavor. Use 2-4% in Brown ales to add a nutty flavor, or 3-10% in Porters and Stouts for coffee flavor."
Roasted Barley,US,,300,0,1.025,10,"Roasted at high temperature to create a burnt, grainy, coffee like flavor. Imparts a red to deep brown color to beer, and very strong roasted flavor. Use 2-4% in Brown ales to add a nutty flavor, or 3-10% in Porters and Stouts for coffee flavor."
Rye Malt,US,X,4.7,75,1.029,15,"Adds a dry, crisp character to the beer. Yields a deep red color, and a distinctive rye flavor Must limit to 10-15% of the mash as it tends to produce ""stuck"" mashes."
"Rye, Flaked",US,X,2,0,1.036,10,"Imparts a dry, crisp rye flavor to rye beers. Can be easier to mash than raw rye."
"Rye, Flaked (Briess)",US,,4.6,0,1.033,0,Use up to 40% as a cereal adjunct in the total grist to create Rye Beer. Start at 5-10% and increase in increments of 5% because of the concentrated flavor of Rye Flakes.
"Rye, Flaked (toasted)",US,X,10,0,1.036,10,"Imparts a more intendse dry, crisp rye flavor to rye beers. Can be easier to mash than raw rye."
Simpson Golden Promise,,,2,0,0.000,0,
Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
Smoked Malt,Germany,X,9,0,1.037,100,"Malt that has been smoked over an open fire. Creates a distinctive ""smoked"" flavor and aroma. Used primarily for German Rauchbier but can also be added to Brown Ales and Porters."
Special B (Castle Malting),Belgien,,152.284264,0,1.035,10,"Mycket speciell belgisk karkellmalt.Ger en djupt röd till mörkt brun-svart färg och fylligare kropp, unik rik maltig smak och arom av russin, nötter och plommon. Används tex till Abbey Ales."
Special B (Dingemans),Belgium,,147.5,0,1.030,20,
Special B Malt,Belgium,,180,0,1.030,10,Extreme caramel aroma and flavored malt. Used in dark Belgian Abbey and Trappist ales. Unique flavor and aroma.
Special Roast,US,X,50,6,1.033,10,"Use for English ales, nut brown ales and porters. Adds a toasted, biscuit like flavor and aroma"
Thomas Fawcett Maris Otter,United Kingdom,,3,120,1.037,100,"Premium base malt from the UK. Popular for many English styles of beer including ales, pale ales and bitters."
Toasted Malt,United Kingdom,X,27,0,1.033,10,Toasted malt can be made at home by toasting pale malted barley for 10-15 minutes at 350 F. Similar to Biscuit or Victory malt - this malt adds reddish/orange color and improved body without sweetness. Toasted flavor. Mashing required to avoid haze.
"Triticale, Flaked",,,2,0,0.000,100,
Two-Row Pale Malt,"Pale Moon, Alamosa CO",,3,150,1.037,100,Batch from Craft Maltster in Texas - Blacklands Malt
Victory Malt,US,X,25,50,1.034,15,"Toasted malt that adds a ""Biscuit"" or toasted flavor to English ales. Use for: Nut brown ales, porters"
Vienna (BestMälz),Germany,,4.0609137,220,1.035,100,"BEST Vienna deepens the light and brilliant color of the beer and creates a pleasant, full-bodied and malty taste. Selected malting barley is used to produce the malt and it is created according to a special malting process. This malt has a high enzymatic potential."
Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
Vienna Malt,Germany,X,3.5,50,1.036,90,"Kiln dried malt darker than Pale Malt, but not as dark as Munich Malt Imparts a golden to orange color to the beer."
Vienna Malt (Avangard),Germnay,,3,50,1.038,100,"Darker than pale malt, Vienna malt is a great base malt that contributes golden colors and biscuity, malty flavors."
Vienna Malt (Briess),US,,3.5,130,1.036,100,"FLAVOR: Malty, Very Slight Biscuit Can be used as a base malt Use with Caramel Malts to produce malty red and amber beers."
Vienna Malt (Briess),US,,3.5,130,1.036,100,"FLAVOR: Malty, Very Slight Biscuit Can be used as a base malt Use with Caramel Malts to produce malty red and amber beers."
Vienna Malt (Weyermann),Germany,,3,50,1.038,100,"Vienna base malt - used in many continental beer styles. Full bodied, golden color."
Vienna Malt (Weyermann),Germany,,3,50,1.038,100,"Vienna base malt - used in many continental beer styles. Full bodied, golden color."
Vienna Malt (Weyermann),Germany,,3,50,1.038,100,"Vienna base malt - used in many continental beer styles. Full bodied, golden color."
Vienna Malt (Weyermann),Germany,,3,50,1.038,100,"Vienna base malt - used in many continental beer styles. Full bodied, golden color."
Vienna Malt (Weyermann),Germany,,3,50,1.038,100,"Vienna base malt - used in many continental beer styles. Full bodied, golden color."
Wheat - White Malt (Briess),US,,2.3,145,1.039,100,"FLAVOR: Creamy, Sweet, Malty, Wheat, Floury Imparts malty flavor not obtainable from raw wheat. Use with rice hulls to improve lautering and help prevent stuck mash. White Wheat Malt contributes to foam production and foam stability."
"Wheat Malt, Bel",Belgium,X,2,74,1.037,60,Malted wheat for use in Wheat beers
Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
"Wheat Malt, Dark",Germany,X,9,10,1.039,20,Dark malted wheat base for use in dark wheat styles such as Dunkleweizen.
"Wheat Malt, Ger",Germany,X,2,95,1.039,60,Malted wheat base for use in all wheat styles
"Wheat Malt, White",US,X,2.4,130,1.040,60,"White wheat gives a malty flavor not available from raw wheat. Used in Weiss, Wit and White beers"
"Wheat Malt, White (Rahr)",U.S.,,4,130,1.039,50,"It’s a great base malt for any style wheat beer. It has a doughy, malty, bready flavor and aroma, with white wheat having a slightly milder wheat flavor than red wheat. High protein levels in wheat lend a fullness of body and excellent head retention, but can lead to difficulty sparging. Use small amounts to enhance foam, or use up to 50% of the grist. Recommend incorporating rice hulls to prevent a stuck sparge when using greater than 25%."
"Wheat, Flaked",US,X,1.6,0,1.035,40,"Flaked wheat adds to increased body and foam retention Used in place of raw or torrified wheat for faster conversion and better yield. May be used in small amounts to improve head retention and body Examples: Belgian White beer, Wit"
"Wheat, Roasted",Germany,X,425,0,1.025,10,"Also called Chocolate Wheat Malt. Kilned raw wheat - adds a deep, dark brown color to dunkelweizens and other dark beer styles. Roasted, woody, charcoal or burnt toast flavor depending on degree of roasting."
"Wheat, Torrified",US,X,1.7,0,1.036,40,"Unmodified wheat that has been ""popped"" to open the kernels Used primarily in place of raw wheat when making Belgian White and Wit Faster conversion and higher yield than raw wheat Protein rest recommended when mashing"
White Wheat,American,,2.8,0,0.000,0,
White Wheat,American,,2.8,0,0.000,0,
White Wheat Malt,US,,2.4,130,1.040,60,"White wheat gives a malty flavor not available from raw wheat. Used in Weiss, Wit and White beers"
White Wheat Malt,US,,2.4,130,1.040,60,"White wheat gives a malty flavor not available from raw wheat. Used in Weiss, Wit and White beers"
Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
White Wheat Malt,US,,2.4,130,1.040,60,"White wheat gives a malty flavor not available from raw wheat. Used in Weiss, Wit and White beers"
White Wheat Malt,US,,2.4,130,1.040,60,"White wheat gives a malty flavor not available from raw wheat. Used in Weiss, Wit and White beers"
White Wheat Malt,US,,2.4,130,1.040,60,"White wheat gives a malty flavor not available from raw wheat. Used in Weiss, Wit and White beers"
White Wheat Malt,US,,2.4,130,1.040,60,"White wheat gives a malty flavor not available from raw wheat. Used in Weiss, Wit and White beers"
White Wheat Malt,US,,2.4,130,1.040,60,"White wheat gives a malty flavor not available from raw wheat. Used in Weiss, Wit and White beers"
White Wheat Malt,US,,2.4,130,1.040,60,"White wheat gives a malty flavor not available from raw wheat. Used in Weiss, Wit and White beers"
